"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:42kcPmx3bxMU9si9HE4rgr","Downfall","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","spotify:album:5MCc07PcloHExkLxifoILv","Hatebreeder","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","1999-05-04","https://i.scdn.co/image/ab67616d0000b273679b19fc87ece9ae886789cf","1","9","273706","https://p.scdn.co/mp3-preview/0d0a562d31ea2418e8f27de4855a71ad838a342a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FISFS9900003","spotify:user:75p2140e0alu9ardn51dih4ci","2022-04-30T04:11:59Z"
"spotify:track:5ey5UuZfhmeUV8iOQKXihS","Everytime I Die","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","spotify:album:1o78toXSqb1xT5MO9lhONW","Follow The Reaper","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","2000-10-30","https://i.scdn.co/image/ab67616d0000b2735fd4ba08c3bd67e4f0d6c778","1","4","243000","https://p.scdn.co/mp3-preview/20a3bd9f30f58a96f1368eab4cf864d04e5d4017?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FISFS0000017","spotify:user:75p2140e0alu9ardn51dih4ci","2022-05-03T16:23:03Z"
"spotify:track:50TMRiWmqSgQ4M3OeLrdT4","Lil' Bloodred Ridin' Hood","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","spotify:album:2MmLoaGIxMwzTtrowFn9bP","Hate Crew Deathroll","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","2003","https://i.scdn.co/image/ab67616d0000b273f994ea7bb4a4226beb9fd96f","1","8","204560","https://p.scdn.co/mp3-preview/d068ab4fd5d42932ff422bfd24325955fcc90e3f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","FIUM70800898","spotify:user:75p2140e0alu9ardn51dih4ci","2022-05-03T16:23:29Z"
"spotify:track:33saBauoLxPFdPymY1v1eU","Mask Of Sanity","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","spotify:album:1o78toXSqb1xT5MO9lhONW","Follow The Reaper","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","2000-10-30","https://i.scdn.co/image/ab67616d0000b2735fd4ba08c3bd67e4f0d6c778","1","5","238573","https://p.scdn.co/mp3-preview/9d819b4558ed36ac610d4321f0fb949e776063fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FISFS0000018","spotify:user:75p2140e0alu9ardn51dih4ci","2022-05-30T18:01:49Z"
"spotify:track:4P1BjL3D2RiEU5cayBPTAs","Deadnight Warrior","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","spotify:album:6hzOeyJPmGcPIEfjWfKeNb","Something Wild","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","1997-02-26","https://i.scdn.co/image/ab67616d0000b2738124109e3d668c04c2bdb9bf","1","1","201720","https://p.scdn.co/mp3-preview/6ccf57cb67b95eb07bf933c287672d4a4526c3f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FISFS9704902","spotify:user:75p2140e0alu9ardn51dih4ci","2022-06-18T14:18:13Z"
"spotify:track:4Am08vkvoMEUxslGa2Hhvk","BWV Fantaisie","spotify:artist:7foGnaEEjPsGTrMPxBQvTX","PaRaLLaXe","spotify:album:6d6KqPsMLJY9yo8zkVL6R7","Parallaxe","spotify:artist:7foGnaEEjPsGTrMPxBQvTX","PaRaLLaXe","2000","https://i.scdn.co/image/ab67616d0000b273dcf10ffa45d92916e2e891b4","1","5","361960","https://p.scdn.co/mp3-preview/26cf4ea780bed90cecba315614af39433c6104f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","QZ22B1814427","spotify:user:75p2140e0alu9ardn51dih4ci","2022-06-23T16:15:35Z"
"spotify:track:5bU4KX47KqtDKKaLM4QCzh","Die MF Die","spotify:artist:7fWgqc4HJi3pcHhK8hKg2p","Dope","spotify:album:7lRvSWMUCTIjkvZQLy4yBx","Life","spotify:artist:7fWgqc4HJi3pcHhK8hKg2p","Dope","2001-12-16","https://i.scdn.co/image/ab67616d0000b2731aa2474909c648492bcf27ce","1","6","186066","https://p.scdn.co/mp3-preview/841b22eebd8ae7bd422f029c1b1281036b537d83?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USSM10105959","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:25:24Z"
"spotify:track:3HFqO1Khvk1pdmhjz3tXsk","Breakin' Outta Hell","spotify:artist:6urzdpGY5yUimWZsgJUoTb","Airbourne","spotify:album:2rtA2D8SqJ1aGUd3flJYFP","Breakin' Outta Hell","spotify:artist:6urzdpGY5yUimWZsgJUoTb","Airbourne","2016-09-23","https://i.scdn.co/image/ab67616d0000b273bdcbcbeb6eb780a6340d71a4","1","1","232425","https://p.scdn.co/mp3-preview/3abcc4be80d62fac397087ec893211fe80a0a4da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","GBUM71603460","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:25:48Z"
"spotify:track:0DpNNwOcvYQcGdGNezAPN8","Hate Me","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","spotify:album:1o78toXSqb1xT5MO9lhONW","Follow The Reaper","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","2000-10-30","https://i.scdn.co/image/ab67616d0000b2735fd4ba08c3bd67e4f0d6c778","1","7","284733","https://p.scdn.co/mp3-preview/cb45d36a8c0607a433dd11505ec157b2b88342c5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","FISFS0000020","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:25:54Z"
"spotify:track:0WZZENH0kt3O2cBE8q5IRq","War Eternal","spotify:artist:0DCw6lHkzh9t7f8Hb4Z0Sx","Arch Enemy","spotify:album:3qzrNVuUyOJxfzMYRCh5qN","War Eternal","spotify:artist:0DCw6lHkzh9t7f8Hb4Z0Sx","Arch Enemy","2014-06-10","https://i.scdn.co/image/ab67616d0000b273ffe6955b65d9425f0cce4472","1","3","256053","https://p.scdn.co/mp3-preview/ad90eab9c1e5fa627b07277224a327eec56ba811?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","SEVKO1400003","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:25:58Z"
"spotify:track:4tvBoSWeIW0bjhKNre5mod","Thunder Kiss '65","spotify:artist:0CF71zaDOJWCynIkW9bSK8","White Zombie","spotify:album:6Cvv0qNSdZNf9o0j8EohoD","La Sexorcisto: Devil Music Volume 1","spotify:artist:0CF71zaDOJWCynIkW9bSK8","White Zombie","1992-01-01","https://i.scdn.co/image/ab67616d0000b273321b697c2c9474c0951ac58f","1","3","234080","https://p.scdn.co/mp3-preview/020939f1aecf4d7d4b2c7df841629ad2c15f3635?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USIR10000377","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:26:04Z"
"spotify:track:50OsF8Rbv8VQS0WAP0uB3i","Bullet With a Name","spotify:artist:6BdSOHfQ6kMg0tbAFlXR1z","Nonpoint","spotify:album:2qiWMIdE9TAxRAhPGX7aU7","To the Pain (Deluxe Edition)","spotify:artist:6BdSOHfQ6kMg0tbAFlXR1z","Nonpoint","2019-12-25","https://i.scdn.co/image/ab67616d0000b2733241825a01981e70e71a5685","1","1","206404","https://p.scdn.co/mp3-preview/5313595b0ce0264f31fc3cafeb81af8a0264ca58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","QZK6P1912173","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:26:08Z"
"spotify:track:5YwzAzs38L7CFEQPlZXFgZ","Triple Corpse Hammerblow","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","spotify:album:2MmLoaGIxMwzTtrowFn9bP","Hate Crew Deathroll","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","2003","https://i.scdn.co/image/ab67616d0000b273f994ea7bb4a4226beb9fd96f","1","6","246640","https://p.scdn.co/mp3-preview/37ff1534f9f21f8e74a05f3de0bfb20702e671f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FISFS0200068","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:26:13Z"
"spotify:track:0lX5041CpqEhjgUAFgIQyb","Chokehold (Cocked 'N' Loaded)","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","spotify:album:2MmLoaGIxMwzTtrowFn9bP","Hate Crew Deathroll","spotify:artist:1xUhNgw4eJDZfvumIpcz1B","Children Of Bodom","2003","https://i.scdn.co/image/ab67616d0000b273f994ea7bb4a4226beb9fd96f","1","3","252266","https://p.scdn.co/mp3-preview/82adf279ce3586f0421353bb518c33012469b53a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FISFS0200065","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:26:17Z"
"spotify:track:7nobjDCjkn6Y8UDQFt2mga","That Day","spotify:artist:6BdSOHfQ6kMg0tbAFlXR1z","Nonpoint","spotify:album:7HYkuJ62NjUnGwMRm7wwUN","Nonpoint","spotify:artist:6BdSOHfQ6kMg0tbAFlXR1z","Nonpoint","2012-10-09","https://i.scdn.co/image/ab67616d0000b2730e8fc61b50581f11c02e42fe","1","7","210826","https://p.scdn.co/mp3-preview/f8a7deeb9a692f019c7f9f1fcbdeb35bc1032683?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USRZR1233408","spotify:user:75p2140e0alu9ardn51dih4ci","2022-07-28T06:26:21Z"
